,Dates,Gold,General,Food & Beverages,Housing,Fuel & Light,Transport & Communication,Miscellaneous
85,2018-08-01,97.13009650333107,134.22562141491397,134.18560606060606,144.16749750747758,133.55450236966826,120.44573643410853,128.87391722810395
86,2018-07-01,98.61357350658695,133.65200764818357,133.90151515151516,143.1704885343968,132.41706161137438,119.76744186046511,128.2001924927815
87,2018-06-01,100.612545334744,132.4091778202677,132.00757575757578,142.073778664008,130.90047393364927,119.8643410852713,127.62271414821942
88,2018-05-01,101.95264184135158,131.73996175908223,130.77651515151516,142.7716849451645,129.76303317535545,119.08914728682171,127.1414821944177
89,2018-04-01,101.5245973239354,131.07074569789677,130.20833333333334,142.4725822532403,129.38388625592415,118.1201550387597,126.37151106833495
90,2018-03-01,99.6708080781935,130.49713193116636,129.92424242424244,141.5752741774676,129.38388625592415,117.24806201550386,125.40904716073146
91,2018-02-01,99.57775492223345,130.4015296367113,130.3030303030303,140.87736789631109,129.5734597156398,116.47286821705427,124.73532242540904
92,2018-01-01,97.81826390989046,130.87954110898664,131.8181818181818,139.9800598205384,129.478672985782,115.60077519379843,124.2540904716073
93,2017-12-01,94.24390870436913,131.1663479923518,133.04924242424244,138.6839481555334,129.478672985782,114.82558139534885,123.77285851780557
94,2017-11-01,96.32669390328174,131.54875717017208,134.56439393939394,138.185443668993,128.24644549763033,114.63178294573643,123.58036573628488
95,2017-10-01,96.67469304745482,130.1147227533461,132.67045454545453,136.88933200398805,125.3080568720379,114.14728682170544,122.90664100096247
96,2017-09-01,97.9656089952258,129.2543021032505,131.62878787878788,135.2941176470588,124.17061611374407,114.63178294573643,122.71414821944175
97,2017-08-01,94.66926647573295,129.44550669216062,133.1439393939394,133.99800598205385,123.03317535545024,113.66279069767442,122.04042348411934
98,2017-07-01,92.3011291869415,128.2982791586998,131.62878787878788,132.20338983050848,122.65402843601896,112.40310077519379,121.17420596727622
99,2017-06-01,94.43945139266826,126.19502868068835,128.03030303030303,131.00697906281158,122.08530805687205,112.8875968992248,120.78922040423483
100,2017-05-01,93.28696839698574,125.62141491395795,126.60984848484848,131.7048853439681,122.65402843601896,113.0813953488372,120.59672762271414
101,2017-04-01,95.05275032691473,125.33460803059273,126.42045454545455,131.3060817547358,123.03317535545024,112.98449612403101,120.40423484119344
102,2017-03-01,94.2267397417906,125.14340344168262,126.04166666666667,130.70787637088733,122.36966824644549,113.953488372093,120.40423484119344
103,2017-02-01,95.8864934982384,124.8565965583174,125.9469696969697,130.1096709870389,121.23222748815165,113.75968992248062,120.1154956689124
104,2017-01-01,94.18666790737542,124.56978967495222,126.04166666666667,129.2123629112662,120.18957345971563,113.37209302325581,119.73051010587103
105,2016-12-01,90.93747450458206,124.66539196940727,126.8939393939394,128.11565304087736,120.0,112.40310077519379,119.2492781520693
106,2016-11-01,97.6285861916325,125.4302103250478,128.88257575757575,128.71385842472583,118.48341232227489,112.1124031007752,119.15303176130894
107,2016-10-01,98.52943248387379,125.62141491395795,129.7348484848485,128.3150548354935,117.81990521327015,111.62790697674419,118.76804619826757
108,2016-09-01,102.1553273423265,125.14340344168262,129.3560606060606,127.51744765702892,117.6303317535545,110.75581395348837,118.19056785370547
109,2016-08-01,102.45676714332382,125.33460803059273,130.58712121212122,126.91924227318046,117.15639810426539,109.59302325581395,117.51684311838304
110,2016-07-01,101.38124959248289,125.33460803059273,131.0606060606061,126.02193419740779,116.96682464454977,110.36821705426357,117.32435033686237
111,2016-06-01,97.46154922364508,124.37858508604207,129.54545454545456,125.1246261216351,116.87203791469194,110.65891472868216,116.93936477382098
112,2016-05-01,97.11305860153557,122.94455066921606,126.8939393939394,125.62313060817547,116.30331753554503,109.30232558139534,116.16939364773822
113,2016-04-01,94.42326538596254,121.7017208413002,124.81060606060608,125.22432701894317,115.92417061611373,108.62403100775194,115.49566891241578
114,2016-03-01,94.344923802899,120.45889101338432,122.91666666666667,124.52642073778665,116.01895734597156,107.46124031007753,114.82194417709334
