Unnamed: 0,Dates,Gold Price,CI,Inflation Rate
100,2017-05-01,28471.36,-6.713031603014261,-0.5405607640872322
99,2017-06-01,28823.1,-5.560548607331738,0.3528108868849599
98,2017-07-01,28170.48,-7.6988708130585,-0.6546069284098013
97,2017-08-01,28893.24,-5.330733524267042,0.7249604725222488
96,2017-09-01,29899.29,-2.0343910047742093,1.009112960569215
95,2017-10-01,29505.3,-3.3253069525451826,-0.3951895187462521
94,2017-11-01,29399.09,-3.673306096718266,-0.10653336070976147
93,2017-12-01,28763.42,-5.756091295630862,-0.637605323438234
92,2018-01-01,29854.32,-2.1817360901095277,1.0942212898811778
91,2018-02-01,30391.32,-0.42224507776655057,0.5386349185683305
90,2018-03-01,30419.72,-0.3291919218065075,0.028486464967116144
89,2018-04-01,30985.5,1.5245973239354058,0.5675025404610603
88,2018-05-01,31116.14,1.9526418413515798,0.13103773884872696
87,2018-06-01,30707.14,0.6125453347439866,-0.41024521730809527
86,2018-07-01,30097.05,-1.386426493413047,-0.6119474440770071
85,2018-08-01,29644.29,-2.869903496668919,-0.4541384464264365
84,2018-09-01,30537.78,0.05763397934285516,0.8962102670234944
83,2018-10-01,31489.29,3.17527512115751,0.9544069112978645
82,2018-11-01,31010.37,1.6060843657919572,-0.48037809162150064
81,2018-12-01,31250.5,2.3928750115906925,0.24086108565328446
80,2019-01-01,32230.0,5.602225936339195,0.9824821280031278
79,2019-02-01,33216.5,8.834512498120102,0.9895034397907969
78,2019-03-01,32036.32,4.967629624848342,-1.1837731065101906
77,2019-04-01,31659.26,3.7321851535000263,-0.3782079746655035
76,2019-05-01,31737.55,3.9887038711095855,0.07852835712237442
75,2019-06-01,33121.26,8.522456773696375,1.387922761959378
74,2019-07-01,34522.26,13.112860699753192,1.405265402074918
73,2019-08-01,37356.15,22.398156761147302,2.8425178945653737
72,2019-09-01,37926.74,24.267706066050046,0.5723271847037278
71,2019-10-01,38213.55,25.207444645659166,0.2876832048316304
70,2019-11-01,38122.2,24.90813458238628,-0.09162811882908775
69,2019-12-01,38091.57,24.807774787771642,-0.030723254293755217
68,2020-01-01,39983.83,31.00780172076256,1.8980210633335381
67,2020-02-01,41195.21,34.97691200480732,1.21506809619237
66,2020-03-01,42285.33,38.548711525059325,1.0934389151391244
65,2020-04-01,45504.44,49.09618845754238,3.228910712686217
64,2020-05-01,46343.28,51.84466413872259,0.8413938828526192
63,2020-06-01,47314.73,55.02763908088385,0.9744076194473128
62,2020-07-01,49878.43,63.42765231802293,2.5715052900067548
61,2020-08-01,52917.19,73.38420894496399,3.0480116296996296
60,2020-09-01,50783.64,66.3935906034661,-2.1400456806544934
59,2020-10-01,50697.85,66.11249798903611,-0.08605119118059132
58,2020-11-01,50428.65,65.23045891916139,-0.2700195904629292
57,2020-12-01,49443.86,62.00377520585554,-0.9877882336255244
56,2021-01-01,49612.0,62.55468920737388,0.16865190913981148
55,2021-02-01,47107.0,54.34700766934938,-2.5126265754444463
54,2021-03-01,44648.0,46.29004603182353,-2.4664865265540494
53,2021-04-01,46517.21,52.414549188586314,1.874900886661282
52,2021-05-01,47860.25,56.81504604001483,1.3471289404730187
51,2021-06-01,47890.86,56.91534030423796,0.030703193402936518
50,2021-07-01,47763.52,56.498108301422754,-0.1277276918631159
49,2021-08-01,47108.95,54.35339688252269,-0.6565628652649383
48,2021-09-01,46584.14,52.63384664381186,-0.5264078056123729
47,2021-10-01,47218.79,54.71328979275687,0.636582218006316
46,2021-11-01,48192.85,57.90481645101161,0.9770255656995656
45,2021-12-01,47889.83,56.911965489074625,-0.3039425568427817
44,2022-01-01,47960.25,57.142697997620594,0.07063439658394952
43,2022-02-01,49254.0,61.38169519914523,1.2976888750424163
42,2022-03-01,51750.29,69.56083825166228,2.503890057491505
41,2022-04-01,52022.53,70.4528379410482,0.2730688458678607
40,2022-05-01,50879.43,66.70744841365668,-1.1465802149263646
39,2022-06-01,50804.23,66.46105414153715,-0.07542894949038526
38,2022-07-01,50784.33,66.39585140197359,-0.01996058636780365
37,2022-08-01,51639.15,69.19668586597922,0.8574225346193297
36,2022-09-01,49913.55,63.542723685534085,-1.7308536601145441
35,2022-10-01,50506.0,65.48389770836945,0.5942537383720778
34,2022-11-01,51873.62,69.96493141097747,1.3717837752931499
33,2022-12-01,53940.82,76.73815267860391,2.0734936753527955
32,2023-01-01,56246.1,84.29144772689816,2.3122985196968346
31,2023-02-01,56646.0,85.60172790536363,0.4011175119841269
30,2023-03-01,57514.0,88.44574689738171,0.8706426616709698
29,2023-04-01,60145.25,97.0670890318835,2.6392609487577645
28,2023-05-01,60583.0,98.50138547630274,0.43908274786459334
27,2023-06-01,59056.12,93.49853326601179,-1.531528648908028
26,2023-07-01,58922.09,93.05938134723276,-0.1344380598430477
25,2023-08-01,58738.31,92.45722257954489,-0.1843395257625459
24,2023-09-01,58743.45,92.47406389016582,0.005155648941230736
